location,lat,long
Bell,-33.50988,150.26581
Bilpin,-33.49661,150.52859
Blackheath,-33.63396,150.28473
Blue Mountaians National Park,-33.4258,150.41444
Boyd River Camp,-33.97937,150.05533
Bylong Valley Way,-32.41696,150.29567
Colo Heights,-33.36539,150.71743
Colong Stock Route,-34.07369,149.99059
Denman,-32.3898,150.68808
Dunphys Camp,-33.78101,150.22535
Duns Swamp,-32.82182,150.20207
Emu Plains,-33.74091,150.63823
Gardens of Stone State Conservation Area,-33.36708,150.21572
Glen Davis,-33.12011,150.28128
Glenbrook,-33.7612,150.62344
Great  Western Highway,-33.72491,150.409
Jenolan Caves,-33.82056,150.02082
Kanangra,-33.99912,150.11064
Katoomba,-33.71382,150.31208
Kurrajong,-33.55525,150.66802
Lake Burragorang,-33.90764,150.37251
Lithgow,-33.48599,150.14211
Megalong Valley,-33.70553,150.2332
Mount Tomah,-33.54251,150.42822
Mount Tootie,-33.46309,150.50185
Mount Victoria,-33.59844,150.24268
Mount Wilson,-33.50567,150.37993
Mountain Lagoon,-33.44519,150.62676
Nattai National Park,-34.24093,150.38157
Oberon,-33.70462,149.8815
Picton,-34.16879,150.61096
Portland,-33.35633,149.97557
Putty Road,-33.25929,150.68102
Springwood,-33.69943,150.56583
Sydney 60km →,-33.69502,150.63392
Sydney 60km →,-33.51287,150.94492
Warragamba,-33.8892,150.60247
Wheeny Creek Camp,-33.4528,150.74532
Wolgan Valley,-33.2412,150.1864
Wollemi Flora Reserve,-32.76023,150.6122
Wollemi National Park,-33.4101,150.57381
Wombeyan Caves,-34.29717,149.98268
Yengo National Park,-33.05946,150.79644
Yerranderie State Conservation Area,-34.1295,150.27555
Newnes,-33.16563,150.23534
Coricudgy,-32.87131,150.29867
Nullo,-32.70502,150.23148
